personne_id,nom,prenom,naissance,deces,nationalite,artiste,popularite
46c31ee2-f27f-4049-95d4-e3bf625ec924,Nielsen,Brigitte,1963-07-15,,dk,,27.177
03eaa5ea-ad8e-4342-b2f5-8d26ec0bbe46,Zito,Joseph,1946-05-14,,us,,8.77
38d69333-f86e-4e30-b3f8-04e349ade801,Fleischer,Richard,1916-12-08,2006-03-25,us,,4.826
8c077f12-c8cc-4902-9797-17e29fb22bd8,Baker,Betsy,1955-05-08,,us,,19.739
1879fdcb-078f-4bc3-adba-0fc4e0f16db6,Shire,Talia,1946-04-25,,us,,30.319
21c64182-ad5d-4207-adf5-6df21d1b7bc4,Willis,Bruce,1955-03-19,,,,58.639
1daf693b-6969-4269-a9e7-16b8f4933ffe,Bourguignon,Anne,1950-08-09,2019-04-30,fr,Anémone,8.302
b7770571-dac0-4ce4-a95a-25c37342d642,James,Steve,1952-02-19,1993-12-18,us,,10.155
49242460-8b4a-4e1c-b3a4-603c9bf705c7,Rolston,Mark,1956-12-07,,us,,24.429
705e5be2-7781-4305-ae6e-d088a2cbcd0b,Broderick,Matthew,1962-03-21,,us,,62.574
2304edf2-cabe-4ffd-85a6-4d4edcd80530,Atherton,William,1947-07-30,,us,,42.338
30e140ad-88c1-47d0-84e2-3a70d8398692,Lambert,Christophe,1957-03-29,,fr,,22.127
450c6276-60bc-4791-bee4-3152145af6e7,Schwarzenegger,Arnold,1947-07-30,,at,,52.273
be35d246-44da-45f7-be0a-db86b1020482,Henn,Caroline Marie,1976-05-07,,us,Carrie Henn,15.948
82404f5e-59d1-45d6-a0e0-ea07695377bd,Kenworthy,Michael,,,us,,0.6
41bde72f-188a-4ccc-a63c-84d188cba9de,Mastrantonio,Mary Elizabeth,1958-11-17,,us,,16.187
42730da3-7ba6-429b-ade8-f9d0287931d8,Seagal,Steven,1952-04-10,,us,,60.201
8dec5ff2-a3f1-4f43-b727-c954e0131efd,Pedersoli,Carlo,1929-10-31,2016-06-27,it,Bud Spencer,24.074
86e66f4c-0b10-46ad-b242-8bdf2d704b46,O'Rourke,Heather Michele,1975-12-27,1988-02-01,us,Heather O'Rourke,4.777
38e1ba01-163a-4262-9ce3-a8b95ea6e687,Kotcheff,Ted,1931-04-07,,ca,,15.671
8add261c-9aff-44f2-9aa1-63a3f33eac8d,Grey,Jennifer,1960-03-26,,us,,16.104
60369b57-d42e-4cf5-8c02-8e6f28d825a7,Van Damme,Jean-Claude,1960-10-18,,be,,66.089
85e7a0c6-4d33-4e8d-9669-393055db48d4,Jugnot,Gérard,1951-05-04,,fr,,12.037
e51dafbc-1271-44ff-884f-700cbcbc3f2b,Russel,Kurt,1951-03-17,,us,,56.554
02a87b57-b8e5-4730-aef2-e31ded2de0ac,Nelson,Gary,1934-10-06,2022-05-25,us,,14.994
5db9320b-f723-4418-a1d7-6d354a9d319b,Goldstein,Jenette,1960-02-04,,us,,12.832
57aa6745-b209-4c82-b360-ee72aea696b5,Weller,Peter,1947-06-24,,us,,38.732
88826d9b-81ec-4e7c-8783-aa52f9a8b6fc,Swayze,Patrick Wayne,1952-08-18,2009-09-14,us,Patrick Swayze,21.278
eca2280e-2f4f-496b-a90e-172f82805fc8,Balaskovic,Josiane,1950-04-15,,fr,Josiane Balasko,6.546
eaf2f2df-36f0-4d6a-ae64-846918cc24e9,Depardieu,Gérard,1948-12-27,,fr,,23.218
d247621e-d5c0-4918-8990-09a45f8fa613,Carpenter,John,1948-01-16,,us,,21.414
44300acc-7c79-4769-8529-0b6f4e83708c,Gosset Jr.,Louis,1936-05-27,,us,,43.568
bd280de3-2180-45ac-9819-0b1a9dcb9ce7,Dudikoff,Michael,1954-10-08,,us,,8.479
2e24400b-2353-4be5-b6de-746870abf0cc,DeVito,Daniel Michael,1944-11-16,,us,Danny DeVito,37.844
9cabf13e-ce81-4ab8-8d9a-71779bbf7201,Kilmer,Val,1959-12-31,,us,,43.281
2ef60e47-e58a-4815-bbb7-738e235b664a,Cryer,Jon,1965-04-16,,,,58.52
e196b96c-5686-4cd0-8318-1a91244381c0,Baird,Stuart,1947-01-14,,gb,,4.375
cfbc0a1a-6f79-4d89-9412-6de889a7dd84,Aykroyd,Daniel Edward,1952-07-01,,ca,Dan Aykroyd,30.049
35de4d08-ae23-42a5-a792-4851f948d0fd,Barrymore,Drew,1975-02-22,,,,44.037
ca695ce5-064d-4ba6-b19b-595d82ce3d13,Sarkisian,Cherilyn,1946-05-20,,us,Cher,15.929
bf8be473-db59-4b98-82c4-929799b69af1,Davis,Warwick,1970-02-03,,gb,,17.317
21486d08-26e3-46a5-8a57-1ac0235ff41a,Caine,Michael,1933-03-14,,,,54.957
ed0aea9c-e41b-4615-8eeb-e3e45e39273e,MacDonald,Peter,1939-01-01,,gb,,2.873
b5941bcc-474f-4a2d-a06f-ecec245ae802,Sheedy,Ally,1962-06-13,,,,22.952
6c4c5d89-aa5b-4f8b-a107-280fc99d3c9a,Lane,Diane,1965-01-22,,,,78.108
8b8a29ff-ad0a-420d-a140-98f89451a24f,François,Henri Jacques,1920-05-16,2003-11-25,fr,Jacques François,5.356
4f1e41f1-080a-40c6-8e4c-653d0437a52b,Neeson,Liam,1952-06-07,,,,126.544
bd7e7669-0007-4cb5-9218-b72163039cf5,Sarandon,Susan,1946-10-04,,us,,82.96
a7e2e550-5eef-4a5d-9327-ecedcbdffbbe,Birkin,Jane,1946-12-14,2023-07-16,gb,,15.161
e713859f-af45-4aa5-941f-2cd359491f1c,Cronenberg,David,1943-03-15,,ca,,24.811
b59fe97a-50de-4df9-a650-6c25e6dbe179,Spade,David,1964-07-22,,,,36.52
7b146021-19b2-4956-97e9-fd6177845678,Ford,Harrison,1942-07-13,,us,,67.308
36f5b9d6-8dd4-4263-a86d-3196dee4a03e,Gershon,Gina,1962-06-10,,,,68.994
6514c6fb-b221-4485-b409-82cafa2c1706,Bohringer,Richard,1942-01-16,,fr,,18.255
2860ab6b-e98d-4c47-80be-bc2a536ff671,Hannah,Daryl,1960-12-03,,,,65.159
bbad8dff-5362-43d2-9fa0-dd29dd9ad2fd,Moore,Demi,1962-11-11,,,,38.813
5cde90d1-5a69-4f37-a046-6f9c929da7d2,Sanderson,William,1944-01-10,,,,11.304
8c3aaa6a-5294-4bc8-9d7b-d5389aaa13b3,Cassidy,Joanna,1945-08-02,,,,20.621
28938581-a315-4bbf-901c-568ce241b5f0,Thompson,J. Lee,1914-08-01,2002-08-30,gb,,12.835
906e255b-6e5e-46d2-972e-766035e1d369,Tate,Sharon,1943-01-24,1969-08-09,us,,16.808
c31959cd-ddef-4820-a26f-05bd58dda950,Muel,Jean-Paul,1944-06-03,,fr,,2.907
f1cb9ad0-ab39-4516-96e5-87b4ef3fa0b1,Ke Quan,Jonathan,1971-08-20,,vn,Ke Huy Quan,16.609
a29d67e0-fcf0-412d-bff2-5e95eb2704d1,Scott,Tony,1944-06-21,2012-08-19,gb,,42.188
727fcc04-a57b-4779-b90d-8810ea9ed312,Shields,Brooke,1965-05-31,,,,33.012
8f2492f4-4ba1-4f53-939f-7f3afc8b325a,Beatty,Warren,1937-03-30,,,,16.499
23363946-7dde-472e-a31e-408f15845aae,Moore,Julianne,1960-12-03,,,,67.842
