film_id,personne_id,role,alias,ordre
e90836cf-cc5f-477d-9ca1-a44f1bd95abf,9ba16814-0229-4025-927c-795cd4d6dd07,acteur,John Rambo,0
13ee2642-1e88-4b5b-9e0e-1ca8940c8a2e,2e24400b-2353-4be5-b6de-746870abf0cc,acteur,Vincent Benedict,1
babad69c-d9e9-4668-93da-f12899a80b45,88826d9b-81ec-4e7c-8783-aa52f9a8b6fc,acteur,Johnny Castle,1
ca94860d-56c2-4b68-ac00-6d48d0de8ee4,450c6276-60bc-4791-bee4-3152145af6e7,acteur,Le major Alan « Dutch » Schaefer,0
2f9676ba-0fba-42cc-b4e9-1a0a48b21260,594436cf-1f7a-4a96-8f41-53792e1d10df,acteur,Larry Donner,1
2f9676ba-0fba-42cc-b4e9-1a0a48b21260,2e24400b-2353-4be5-b6de-746870abf0cc,acteur,Owen,0
bb73a806-7713-47b3-8355-b4151511a743,68f0d3b2-8748-4d91-92ef-a5fc02ffc53b,acteur,Helen Brown,0
1a824fa6-2716-4362-b09a-308fac8ff3fa,46c31ee2-f27f-4049-95d4-e3bf625ec924,acteur,Ingrid,1
1a824fa6-2716-4362-b09a-308fac8ff3fa,9ba16814-0229-4025-927c-795cd4d6dd07,acteur,Marion Cobretti,0
3c263c09-6fdb-4070-9a0a-8ee7357a2bc6,436b9127-6cb4-4e89-ad98-82a98f7e847b,acteur,Jack Colton,0
3c263c09-6fdb-4070-9a0a-8ee7357a2bc6,b4e88855-0164-453b-bcf0-45a7f677c8dd,acteur,Joan Wilder,1
695fb599-9b9f-481e-9f62-ce52dddf918c,b2e7842d-cc7a-47d7-8a99-625359b685a7,acteur,Jesse Huston,1
695fb599-9b9f-481e-9f62-ce52dddf918c,2fde32d6-3e8b-48ac-96ba-80056449cbbe,acteur,Allan Quatermain,0
80c07340-a069-476a-a0a0-2460dc69b3cc,e51dafbc-1271-44ff-884f-700cbcbc3f2b,acteur,Jack Burton,0
8a121e62-10bc-4dfd-a741-7dd440c467de,b2e7842d-cc7a-47d7-8a99-625359b685a7,acteur,Jesse Huston,1
8a121e62-10bc-4dfd-a741-7dd440c467de,2fde32d6-3e8b-48ac-96ba-80056449cbbe,acteur,Allan Quatermain,0
27d9fcf0-8a76-4bf4-877e-8e2e2a8b27ce,7f61045e-1fdf-493f-bb9a-ddde285488e8,acteur,Elizabeth Hardy,2
eb4c69f6-9fa5-4eb7-9a16-0259a9eac719,cf13b736-49c6-40fd-8484-49732ddb9b09,acteur,Lorraine Baines,3
8a973d17-fccf-4240-8157-573db91eaa6c,1879fdcb-078f-4bc3-adba-0fc4e0f16db6,acteur,Adrian Pennino,1
8a973d17-fccf-4240-8157-573db91eaa6c,21c2b10a-358e-408b-abd2-5bf391b77927,acteur,Apollo Creed,3
412db3da-061b-4b62-9015-00649a08eb45,9ba16814-0229-4025-927c-795cd4d6dd07,acteur,John Rambo,0
8cf850f7-427a-4b4e-83f8-57690c774a37,b4e88855-0164-453b-bcf0-45a7f677c8dd,acteur,Joan Wilder,1
8cf850f7-427a-4b4e-83f8-57690c774a37,436b9127-6cb4-4e89-ad98-82a98f7e847b,acteur,Jack Colton,0
c8569fc1-cf9f-4f55-9c6c-d100595847f6,450c6276-60bc-4791-bee4-3152145af6e7,acteur,The Terminator,2
e155fb8f-15f9-4285-a742-7cc2a54aabcf,ec70b59b-2b49-4122-97a7-e1598b95500f,acteur,Kate Beringer,1
770074ee-584e-41cb-8e15-fbd11247a4f1,9f72b128-e7cb-4ee1-9f4f-801e655b430a,acteur,Louis Tully,4
770074ee-584e-41cb-8e15-fbd11247a4f1,314d4062-e9f6-428f-8ac6-51f9f62c4527,acteur,Dr. Egon Spengler,3
770074ee-584e-41cb-8e15-fbd11247a4f1,9f69c024-b15c-4bf2-8f53-d968337306ea,acteur,Dana Barrett,2
770074ee-584e-41cb-8e15-fbd11247a4f1,2304edf2-cabe-4ffd-85a6-4d4edcd80530,acteur,Walter Peck,6
1e94a4eb-3268-4e30-81a2-56cac00d56ea,450c6276-60bc-4791-bee4-3152145af6e7,acteur,Conan,0
59b41a22-7f4f-45f2-bb9e-5397fb3a6408,450c6276-60bc-4791-bee4-3152145af6e7,acteur,Conan,0
a9f73754-847d-43b7-9529-bfe7fecd487f,e51dafbc-1271-44ff-884f-700cbcbc3f2b,acteur,MacReady,0
890aa7dd-1bdb-468e-a6f3-c4ca7cf02c3a,1879fdcb-078f-4bc3-adba-0fc4e0f16db6,acteur,Adrian Pennino,1
890aa7dd-1bdb-468e-a6f3-c4ca7cf02c3a,21c2b10a-358e-408b-abd2-5bf391b77927,acteur,Apollo Creed,3
890aa7dd-1bdb-468e-a6f3-c4ca7cf02c3a,a3591726-da0e-4ecd-927b-41d90a04c3a9,acteur,Paulie Pennino,2
890aa7dd-1bdb-468e-a6f3-c4ca7cf02c3a,28794c25-dafb-4f23-96a2-a1987a682385,acteur,Clubber Lang,4
890aa7dd-1bdb-468e-a6f3-c4ca7cf02c3a,9ba16814-0229-4025-927c-795cd4d6dd07,acteur,Rocky Balboa,0
fb74c2f9-8ef1-433e-a067-746b5e0bfd59,68f0d3b2-8748-4d91-92ef-a5fc02ffc53b,acteur,Mary,4
94666aeb-13c6-47d8-a8c9-6051636b6102,9ba16814-0229-4025-927c-795cd4d6dd07,acteur,John Rambo,0
8f3d2c9a-7e51-4966-b561-80c59d8bcc31,e51dafbc-1271-44ff-884f-700cbcbc3f2b,acteur,Snake Plissken,0
ec6a42ec-6c44-495f-beca-ecc4c3dc093e,21c2b10a-358e-408b-abd2-5bf391b77927,acteur,Apollo Creed,3
ec6a42ec-6c44-495f-beca-ecc4c3dc093e,1879fdcb-078f-4bc3-adba-0fc4e0f16db6,acteur,Adrian Pennino,1
ec6a42ec-6c44-495f-beca-ecc4c3dc093e,a3591726-da0e-4ecd-927b-41d90a04c3a9,acteur,Paulie Pennino,2
